"guid","spelling","published","abbr1","abbr2","abbr3","type","gloss","character","arity","relational phrase","Original Textbook Order","LogFlash Order/Frequency",,"frequency"
100347,"fenso",,"fen",,"fe'o","gismu","sew","缝",4,"x1 sews/stitches/sutures materials x2 (ind./set) together with tool(s) x3, using filament x4","a",4,"#N/A",0
100348,"fepni",,"fep",,"fei","gismu","cent","镚",3,"x1 is measured in kopeck/cent money-subunits as x2 [quantity], in monetary system x3","5e",36,4,4
100349,"fepri",,,,,"gismu","lung","肺",2,"x1 is a/the lung [body-part] of x2; [metaphor: breathing/respiratory apparatus/bellows]","aa",0,"#N/A",0
100350,"ferti",,,"fre",,"gismu","fertile","沃",2,"x1 is fertile/conducive for supporting the growth/development of x2; x1 is fruitful/prolific","a",15,4,4
100351,"festi",,"fes",,,"gismu","waste","废",2,"x1(s) is/are waste product(s) [left to waste] by x2 (event/activity)","a",20,2,2
100352,"fetsi",,"fet",,"fe'i","gismu","female","雌",3,"x1 is a female/doe of species x2 evidencing feminine trait(s) x3 (ka); x1 is feminine","4b",13,6,6
100353,"figre",,"fig",,,"gismu","fig","榕",2,"x1 is a fig [fruit/tree] of species/strain x2","aj",0,"#N/A",0
100354,"filso",,"fis",,,"gismu","Palestinian","勒",2,"x1 reflects Palestinian culture/nationality in aspect x2","ab",1,5,5
100355,"finpe",,"fip",,"fi'e","gismu","fish","鱼",2,"x1 is a fish of species x2 [metaphorical extension to sharks, non-fish aquatic vertebrates]","5b",46,7,7
100356,"finti",,"fin",,"fi'i","gismu","invent","创",4,"x1 invents/creates/composes/authors x2 for function/purpose x3 from existing elements/ideas x4","8b",120,55,55
100357,"flalu",,,"fla",,"gismu","law","律",5,"x1 is a law specifying x2 (state/event) for community x3 under conditions x4 by lawgiver(s) x5","8d",5,9,9
100358,"flani",,,,,"gismu","flute","笛",1,"x1 is a flute/pipe/fife/recorder [flute-like/air-reed musical instrument]","ak",1,"#N/A",0
100359,"flecu",,,"fle",,"gismu","flow","流",4,"x1 is a current/flow/river of/in x2 flowing in direction to/towards x3 from direction/source x4","a",85,4,4
100360,"fliba",,,"fli",,"gismu","fail","败",2,"x1 fails at doing x2 (state/event); x1 is a failure at its role in x2","8g",4,10,10
100361,"flira",,"fir",,,"gismu","face","脸",2,"x1 is a/the face [head/body-part] of x2; (adjective:) x1 is facial","1c",45,27,27
100362,"foldi",,,"flo","foi","gismu","field","场",2,"x1 is a field [shape/form] of material x2; x1 is a broad uniform expanse of x2","9b",24,20,20
100363,"fonmo",,"fom",,"fo'o","gismu","foam","沫",3,"x1 is a quantity of foam/froth/suds of material x2, with bubbles/vacuoles of material x3","a",1,"#N/A",0
100364,"fonxa",,"fon",,,"gismu","telephone","筒",2,"x1 is a telephone transceiver/modem attached to system/network x2","2n",40,4,4
100365,"forca",,,"fro",,"gismu","fork","叉",4,"x1 is a fork/fork-type tool/utensil for purpose x2 with tines/prongs x3 on base/support x4","5c",16,"#N/A",0
100366,"fraso",,"fas",,,"gismu","French","法",2,"x1 reflects French/Gallic culture/nationality/language in aspect x2","ab",19,8,8
100367,"frati",,,"fra",,"gismu","react","应",4,"x1 reacts/responds/answers with action x2 to stimulus x3 under conditions x4; x1 is responsive","2b",21,2,2
100368,"fraxu",,"fax",,,"gismu","forgive","谅",3,"x1 forgives x2 for event/state/activity x3","4d",25,9,9
100369,"frica",,"fic",,,"gismu","differ","别",3,"x1 differs/is distinct from/contrasts with/is unlike x2 in property/dimension/quantity x3","2g",46,13,13
100370,"friko",,,,"fi'o","gismu","African","非",2,"x1 reflects African culture/nationality/geography in aspect x2","ab",3,7,7
100371,"frili",,"fil",,,"gismu","easy","易",3,"x1 (action) is easy/simple/facile for x2 (agent) under conditions x3; x2 does x1 freely/easily","1i",63,18,18
100372,"frinu",,,,,"gismu","fraction","分",3,"x1 is a fraction, with numerator x2, denominator x3 (x2/x3)","7e",1,1,1
100373,"friti",,"fit",,,"gismu","offer","提",4,"x1 offers/proffers x2 [offering] to x3 with conditions x4","8d",12,12,12
